"fact_id","employeeid","jobid","attrition","businesstravel","dailyrate","hourlyrate","monthlyincome","monthlyrate","overtime","percentsalaryhike","performancerating","stockoptionlevel","totalworkingyears","yearsatcompany","yearsincurrentrole","yearssincelastpromotion","yearswithcurrmanager","environmentsatisfaction","jobsatisfaction","relationshipsatisfaction","distancefromhome","jobinvolvement","trainingtimelastyear","worklifebalance","numcompaniesworked"
43,43,13,False,"Non-Travel",979,90,4345,4381,"No",12,3,1,6,5,4,1,4,3,3,4,1,1,2,3,0
44,44,9,False,"Travel_Rarely",195,80,4859,6698,"No",16,3,0,5,5,4,0,3,1,3,4,1,3,3,3,1
45,45,5,False,"Travel_Rarely",1469,81,12490,15736,"No",16,3,2,16,10,9,4,7,2,2,4,8,2,5,1,5
46,46,3,False,"Travel_Rarely",1099,88,18213,8751,"No",11,3,1,26,22,9,3,10,2,2,3,5,3,5,3,7
47,47,16,True,"Travel_Rarely",1277,56,13610,24619,"Yes",12,3,0,15,7,6,7,7,2,3,4,15,3,2,4,7
48,48,7,False,"Travel_Rarely",136,89,5373,6225,"No",12,3,1,6,5,3,0,2,1,1,1,1,3,5,2,0
49,49,7,False,"Travel_Frequently",827,84,5488,20161,"Yes",13,3,1,6,6,5,1,2,3,2,1,1,4,2,3,1
50,50,5,False,"Non-Travel",427,63,11713,20335,"No",14,3,1,10,8,7,0,5,1,1,1,8,4,2,3,9
51,51,18,True,"Travel_Frequently",1009,45,2596,7160,"No",15,3,2,1,1,0,0,0,1,2,1,1,2,2,3,1
52,52,1,True,"Travel_Frequently",238,47,2432,15318,"Yes",14,3,0,8,4,1,0,3,1,3,1,5,4,2,3,3
53,53,28,False,"Travel_Rarely",950,59,10221,18869,"No",21,4,0,17,8,5,1,6,3,3,2,7,3,3,4,3
54,54,18,False,"Travel_Frequently",185,33,2455,10675,"No",19,3,0,9,8,7,1,7,3,4,1,10,3,5,3,0
55,55,17,False,"Travel_Rarely",1482,42,18300,16375,"No",11,3,1,21,3,2,1,1,4,3,2,5,3,2,3,4
56,56,25,False,"Travel_Rarely",685,85,17779,23474,"No",14,3,0,36,10,9,0,9,4,4,1,3,3,2,3,3
57,57,13,False,"Travel_Rarely",1055,47,4227,4658,"No",18,3,1,4,3,2,2,2,1,4,2,2,3,2,3,0
58,58,13,False,"Travel_Rarely",932,43,6062,4051,"Yes",13,3,1,8,4,3,0,2,4,4,4,1,2,4,3,9
59,59,11,False,"Travel_Frequently",559,82,5257,6227,"No",11,3,1,9,9,7,0,0,3,3,2,10,2,3,4,1
60,60,5,False,"Non-Travel",728,80,13603,11677,"Yes",18,3,2,15,5,2,0,2,1,4,1,1,3,2,3,2
61,61,18,False,"Travel_Rarely",125,83,2206,16117,"No",13,3,0,10,10,0,1,8,4,3,1,9,2,5,3,1
62,62,1,False,"Travel_Rarely",546,97,3117,26009,"No",18,3,0,3,2,2,2,2,3,4,3,5,3,2,3,1
63,63,13,False,"Non-Travel",926,36,5265,16439,"No",16,3,1,11,5,3,0,2,3,3,2,21,3,5,3,2
64,64,24,False,"Travel_Rarely",1137,98,16823,18991,"No",11,3,1,22,19,7,11,16,1,1,1,1,3,3,3,2
65,65,23,False,"Travel_Frequently",1413,42,7918,6599,"No",14,3,1,11,11,10,4,1,2,4,4,1,3,5,3,1
66,66,10,False,"Non-Travel",177,37,13577,25592,"Yes",15,3,1,34,33,9,15,0,4,2,4,8,2,3,3,1
67,67,9,False,"Travel_Rarely",329,98,5647,13494,"No",13,3,2,11,3,2,0,2,3,1,1,16,2,3,2,4
68,68,9,False,"Travel_Rarely",703,42,4960,11825,"No",12,3,0,20,7,7,1,7,4,1,4,14,3,2,3,2
69,69,1,False,"Travel_Rarely",885,58,2819,8544,"No",16,3,1,5,3,2,0,2,1,1,1,4,4,3,4,2
70,70,1,False,"Travel_Rarely",329,96,2543,11868,"No",13,3,1,6,2,2,2,2,4,3,2,2,3,3,3,4
71,71,18,False,"Travel_Frequently",116,77,2743,7331,"No",20,4,1,2,2,2,2,2,3,2,3,13,2,2,3,1
72,72,1,False,"Travel_Rarely",1158,94,2070,2613,"No",23,4,1,5,5,2,0,4,4,4,4,9,3,3,2,1
73,73,25,False,"Travel_Rarely",1126,66,17399,6615,"No",22,4,1,32,5,4,1,3,4,4,3,1,3,1,2,9
74,74,31,False,"Travel_Rarely",332,51,7988,9769,"No",13,3,0,10,10,9,0,9,2,1,1,17,2,3,2,1
75,75,18,False,"Travel_Frequently",193,52,3867,14222,"Yes",12,3,1,2,2,2,2,2,4,4,2,2,2,2,3,1
76,76,15,False,"Travel_Rarely",506,30,4485,26285,"No",12,3,0,10,8,0,7,7,3,2,4,3,3,2,3,4
77,77,13,False,"Travel_Rarely",1176,85,9957,9096,"No",15,3,1,7,6,2,0,2,3,1,3,20,3,1,2,0
78,78,25,False,"Travel_Rarely",1005,48,16704,17119,"No",11,3,0,21,21,6,8,6,4,2,3,28,2,2,3,1
79,79,14,False,"Travel_Rarely",330,46,2064,15428,"No",21,4,1,6,5,3,1,3,3,3,1,1,3,3,4,0
80,80,9,False,"Travel_Rarely",249,35,4537,17783,"Yes",22,4,1,8,7,6,7,7,3,4,1,2,3,2,3,0
81,81,10,False,"Travel_Rarely",1385,79,13496,7501,"Yes",14,3,0,21,20,7,4,10,3,4,2,20,3,2,3,0
82,82,9,True,"Travel_Rarely",1372,85,5346,9489,"No",13,3,0,7,4,3,1,3,1,3,2,9,1,2,2,8
83,83,9,False,"Travel_Rarely",1210,78,6644,3687,"No",19,3,2,10,0,0,0,0,1,2,2,2,2,2,3,2
84,84,9,False,"Travel_Rarely",571,78,4591,24200,"Yes",17,3,1,11,5,4,1,2,3,3,3,14,3,4,2,3
85,85,1,False,"Travel_Frequently",1312,78,4968,26427,"No",16,3,0,10,9,7,0,7,4,1,4,2,2,2,3,0
86,86,13,False,"Non-Travel",1180,90,5762,24442,"No",14,3,1,15,7,7,1,7,2,4,3,2,3,6,3,2
87,87,5,False,"Travel_Rarely",1396,83,13348,14842,"No",13,3,1,18,13,7,5,7,3,1,2,6,3,3,4,9
88,88,18,True,"Travel_Rarely",303,47,1102,9241,"No",22,4,0,1,1,0,1,0,2,4,3,2,2,3,2,1
89,89,7,False,"Travel_Rarely",593,88,6755,2967,"No",11,3,0,15,3,2,1,2,4,3,3,1,3,2,3,2
90,90,7,False,"Travel_Rarely",771,45,4617,14120,"No",12,3,0,4,4,3,1,2,2,3,2,1,2,2,2,1
91,91,1,False,"Travel_Rarely",1354,41,2226,6073,"No",11,3,1,6,5,3,1,2,2,2,3,2,3,3,2,1
92,92,1,True,"Travel_Frequently",459,73,2439,14753,"Yes",24,4,0,1,1,0,1,0,4,4,2,24,2,3,2,1
93,93,9,False,"Travel_Rarely",304,60,6274,18686,"No",22,4,0,6,6,5,1,4,4,4,3,2,3,5,3,1
94,94,13,False,"Travel_Rarely",1305,49,4197,21123,"Yes",12,3,0,18,1,0,0,1,3,2,4,10,3,2,2,2
95,95,17,False,"Travel_Rarely",989,43,18740,16701,"Yes",12,3,1,29,27,3,13,8,2,3,4,7,2,2,2,5
96,96,23,False,"Travel_Rarely",796,81,10447,26458,"Yes",13,3,1,23,22,14,13,5,3,3,4,4,3,3,4,0
97,97,15,False,"Travel_Rarely",364,32,4317,2302,"Yes",20,4,0,19,3,2,2,2,4,3,2,3,3,2,3,3
98,98,5,False,"Travel_Rarely",269,42,12808,8842,"Yes",16,3,1,9,9,8,0,8,3,4,2,5,2,3,3,1
99,99,6,False,"Travel_Frequently",1249,97,5210,20308,"No",18,3,1,24,24,9,9,11,1,1,1,7,3,2,3,1
100,100,1,False,"Travel_Rarely",188,65,4678,23293,"No",18,3,0,8,6,2,0,1,2,4,3,7,3,6,3,2
101,101,17,True,"Travel_Rarely",1360,49,19545,16280,"No",12,3,0,23,22,15,15,8,2,3,4,12,3,0,3,1
102,102,18,True,"Travel_Rarely",129,84,2973,13008,"No",19,3,0,1,1,0,0,0,1,1,2,4,3,2,3,1
103,103,13,False,"Travel_Frequently",163,30,5238,6670,"No",20,4,0,9,5,4,1,4,4,4,4,24,3,3,2,2
104,104,7,False,"Travel_Rarely",1062,96,6812,17198,"No",19,3,0,10,10,9,1,8,3,1,2,24,2,2,3,1
105,105,9,False,"Travel_Rarely",525,66,5460,6219,"No",22,4,2,13,7,7,5,7,1,4,4,6,4,4,4,4
106,106,1,False,"Travel_Rarely",1343,53,2559,17852,"No",11,3,0,6,6,5,1,1,3,1,4,27,2,3,2,1
107,107,25,False,"Travel_Rarely",589,94,17159,5200,"No",24,4,1,22,4,1,1,0,2,1,3,14,3,3,3,6
108,108,1,False,"Travel_Rarely",334,80,3298,15053,"Yes",12,3,2,7,6,2,0,5,1,2,4,5,4,5,2,0
109,109,7,False,"Travel_Frequently",1297,44,5399,14511,"No",12,3,0,12,4,2,0,3,2,3,3,1,3,3,3,4
110,110,15,False,"Travel_Frequently",279,61,5130,24907,"No",23,4,1,10,10,7,1,7,3,2,4,8,2,3,3,1
111,111,1,True,"Travel_Rarely",135,51,2394,25681,"Yes",13,3,0,8,8,2,7,7,4,3,4,17,3,2,3,1
112,112,25,False,"Travel_Rarely",136,32,16328,22074,"No",13,3,1,24,20,6,14,17,4,1,3,28,3,1,4,3
113,113,18,True,"Travel_Rarely",1329,73,2166,3339,"Yes",14,3,0,10,4,2,0,3,1,1,2,7,3,3,1,3
114,114,1,False,"Travel_Rarely",713,67,4257,13939,"Yes",18,3,1,19,2,2,2,2,3,1,3,8,3,3,3,4
115,115,23,False,"Travel_Rarely",1189,87,7428,14506,"No",12,3,0,12,5,3,1,3,3,4,1,3,3,3,3,2
116,116,1,False,"Non-Travel",1344,37,2089,5228,"No",14,3,3,7,5,4,2,2,4,4,4,7,4,3,4,4
117,117,1,False,"Non-Travel",355,38,2936,6161,"No",22,4,2,10,6,3,3,3,3,3,2,10,3,1,2,3
118,118,9,False,"Travel_Rarely",1326,81,4759,15891,"No",18,3,0,15,13,9,3,12,4,1,4,3,1,2,3,3
119,119,29,False,"Travel_Rarely",1339,59,9724,18787,"No",17,3,1,25,1,0,0,0,2,1,3,7,3,2,3,2
120,120,3,False,"Travel_Rarely",611,88,19833,4349,"No",14,3,0,21,21,8,12,8,2,2,2,7,3,3,2,1
121,121,26,False,"Travel_Rarely",1034,80,16064,7744,"Yes",22,4,1,22,17,13,1,9,4,4,3,16,3,3,3,5
122,122,15,False,"Travel_Rarely",523,98,4661,22455,"No",13,3,0,9,9,8,8,8,3,4,3,2,3,4,3,1
123,123,23,True,"Travel_Rarely",211,74,8564,10092,"Yes",20,4,0,11,0,0,0,0,1,1,3,16,3,2,2,2
124,124,21,False,"Travel_Rarely",660,76,2404,16192,"No",13,3,1,1,1,0,0,0,4,3,1,7,3,3,3,1
125,125,1,False,"Travel_Rarely",670,31,2911,15170,"No",17,3,1,5,5,2,4,3,1,3,4,26,3,1,2,1
126,126,14,True,"Travel_Rarely",489,52,2564,18437,"No",12,3,0,1,1,0,0,0,1,4,3,2,2,3,4,1
127,127,11,False,"Travel_Frequently",653,50,2406,5456,"No",11,3,0,10,10,3,9,9,4,4,4,29,3,2,3,1
128,128,18,True,"Travel_Rarely",1334,36,1416,17258,"No",13,3,0,1,1,0,1,0,3,1,1,10,2,6,2,1
129,129,7,True,"Travel_Rarely",1141,61,4777,14382,"No",15,3,0,15,1,0,0,0,1,2,1,11,1,2,1,5
130,130,5,False,"Travel_Rarely",193,52,13245,15067,"Yes",14,3,0,17,0,0,0,0,4,1,2,6,3,3,4,4
131,131,1,False,"Travel_Rarely",1322,52,2809,2725,"No",14,3,0,8,2,2,2,2,3,3,4,2,2,2,3,2
132,132,16,False,"Travel_Frequently",553,74,11878,23364,"No",11,3,2,12,10,6,8,8,4,2,2,5,3,2,3,6
133,133,1,False,"Travel_Rarely",1206,71,4771,14293,"No",19,3,2,10,5,2,0,3,2,4,4,9,3,0,4,2
134,134,7,False,"Travel_Rarely",408,80,4553,20978,"No",11,3,0,20,20,7,11,10,4,3,1,2,2,4,3,1
135,135,23,False,"Travel_Rarely",937,32,9888,6770,"No",21,4,0,14,14,8,2,1,1,4,1,1,3,3,2,1
136,136,18,False,"Non-Travel",1400,53,2097,16734,"No",15,3,1,9,5,3,1,4,3,4,3,3,3,3,1,4
137,137,13,False,"Travel_Rarely",1115,51,5993,2689,"No",18,3,1,7,7,5,0,7,1,3,3,1,2,2,4,1
138,138,28,False,"Travel_Rarely",706,82,8578,19989,"No",14,3,1,12,9,8,4,7,4,4,3,2,3,4,2,3
139,139,9,True,"Travel_Rarely",740,64,9714,5323,"No",11,3,1,10,10,8,6,7,2,1,4,1,2,4,3,1
140,140,9,False,"Travel_Rarely",1377,74,4478,5242,"Yes",11,3,0,5,5,4,0,4,4,3,1,2,3,3,3,1
141,141,23,False,"Travel_Rarely",801,48,10422,24032,"No",19,3,2,14,14,10,5,7,3,4,3,1,3,3,3,1
142,142,17,False,"Travel_Rarely",1313,31,19049,3549,"Yes",14,3,1,23,22,7,1,10,2,4,4,7,3,4,2,0
143,143,5,False,"Travel_Rarely",397,30,13664,25258,"No",13,3,0,16,5,2,0,2,1,3,1,7,3,3,4,4
144,144,14,False,"Travel_Rarely",147,99,3600,8429,"No",13,3,1,5,5,4,1,4,2,3,4,2,3,2,3,1
145,145,15,False,"Travel_Rarely",646,92,6322,18089,"Yes",12,3,1,6,6,4,0,5,1,4,4,9,3,2,2,1
146,146,7,False,"Travel_Rarely",1299,94,5237,16577,"No",13,3,2,17,7,7,7,7,3,3,2,27,3,3,2,6
147,147,1,False,"Travel_Rarely",896,68,2345,8045,"No",14,3,1,8,3,1,1,2,3,3,3,2,3,3,4,2
148,148,4,False,"Travel_Rarely",1272,37,10552,9255,"Yes",13,3,1,24,6,0,0,4,3,2,4,5,2,3,3,2
149,149,18,False,"Travel_Frequently",1005,79,3068,11864,"No",13,3,0,8,7,7,3,6,4,4,3,2,3,2,2,0
150,150,18,False,"Travel_Rarely",1324,81,2670,9964,"Yes",20,4,3,12,1,0,0,0,3,1,1,3,4,3,2,4
151,151,1,False,"Travel_Rarely",581,63,3375,17624,"No",12,3,0,4,3,2,1,2,4,3,4,1,3,2,4,0
152,152,30,False,"Travel_Rarely",1240,48,6347,13982,"Yes",19,3,0,12,11,9,4,7,3,4,4,9,3,2,1,0
153,153,18,False,"Travel_Rarely",269,56,2593,8007,"Yes",11,3,1,10,9,6,7,8,4,1,3,2,2,4,3,0
154,154,18,False,"Travel_Rarely",1469,82,3816,17881,"No",11,3,1,5,5,2,0,4,4,2,2,1,3,2,3,1
155,155,9,False,"Travel_Rarely",1313,80,4507,8191,"No",12,3,0,8,5,1,0,4,4,4,3,11,3,1,4,3
156,156,21,False,"Travel_Frequently",303,75,2231,11314,"No",18,3,1,6,4,3,1,2,3,3,4,2,3,3,3,6
157,157,25,False,"Travel_Rarely",102,72,14275,20206,"No",18,3,0,33,12,9,3,8,4,4,3,23,3,0,3,6
158,158,1,False,"Travel_Rarely",984,70,2070,25326,"Yes",11,3,0,2,2,2,2,2,4,2,3,1,2,6,4,1
159,159,9,False,"Travel_Rarely",619,85,4717,18659,"No",11,3,0,15,11,9,6,9,2,3,3,1,3,2,3,9
160,160,13,False,"Travel_Rarely",671,85,5768,26493,"No",17,3,3,9,4,3,0,2,3,3,1,19,3,2,2,3
161,161,7,False,"Non-Travel",1225,61,5093,4761,"No",11,3,1,16,1,0,0,0,4,1,1,2,3,2,4,2
162,162,5,False,"Travel_Frequently",1327,73,13675,13523,"No",12,3,1,9,2,2,2,2,2,3,1,3,3,3,3,9
163,163,9,False,"Travel_Frequently",1242,90,9981,12916,"No",14,3,0,7,7,7,0,7,4,3,4,20,3,2,3,1
164,164,10,True,"Travel_Frequently",203,84,12169,13547,"No",11,3,3,21,18,7,11,5,1,4,4,2,3,4,3,7
165,165,1,False,"Travel_Rarely",793,33,2862,3811,"No",12,3,1,10,10,0,0,8,2,4,2,16,3,2,2,1
166,166,5,False,"Travel_Rarely",343,92,11510,15682,"Yes",14,3,1,12,11,10,2,9,3,4,2,15,2,3,3,0
167,167,9,False,"Travel_Frequently",1023,63,5390,13243,"No",14,3,0,17,9,6,0,8,4,2,4,2,2,3,2,2
168,168,24,False,"Travel_Rarely",1099,88,17046,9314,"No",15,3,1,28,27,10,15,7,2,3,2,29,2,2,3,0
169,169,23,False,"Travel_Rarely",930,74,10761,19239,"Yes",12,3,1,18,5,4,0,2,4,1,3,9,3,2,3,4
170,170,22,False,"Travel_Rarely",302,75,13237,20364,"No",15,3,0,22,20,6,5,13,2,3,3,6,3,3,3,7
171,171,9,False,"Travel_Rarely",955,83,4163,8571,"Yes",17,3,0,9,9,0,0,7,4,4,3,4,3,0,3,1
172,172,21,True,"Travel_Rarely",427,99,2275,25103,"Yes",21,4,1,3,3,2,0,2,3,4,2,7,3,2,3,1
173,173,21,False,"Travel_Rarely",654,43,2678,5050,"No",17,3,0,2,2,1,2,2,3,4,4,21,4,2,3,1
174,174,25,False,"Travel_Rarely",1322,43,16880,22422,"Yes",11,3,0,25,3,2,1,2,4,1,2,28,3,2,3,4
175,175,9,False,"Travel_Rarely",1247,45,6931,10732,"No",14,3,1,10,3,2,0,2,4,4,4,20,3,2,3,2
176,176,1,False,"Travel_Rarely",1108,65,2367,16530,"No",12,3,1,10,8,2,7,6,3,1,4,15,3,3,2,8
177,177,18,False,"Travel_Rarely",1384,82,4420,13421,"No",22,4,1,8,8,7,0,7,1,4,2,3,4,2,3,1
178,178,18,False,"Non-Travel",1277,87,4621,5869,"No",19,3,3,3,3,2,1,2,1,3,4,8,1,4,3,1
179,179,28,False,"Travel_Rarely",319,56,7406,6950,"Yes",21,4,1,10,10,9,5,8,4,1,4,24,3,5,2,1
180,180,4,False,"Travel_Rarely",644,97,9396,12368,"No",16,3,1,17,4,2,0,3,4,1,3,1,3,3,3,7
181,181,21,False,"Travel_Rarely",812,69,1200,9724,"No",12,3,0,0,0,0,0,0,4,3,1,10,2,2,3,1
182,182,18,False,"Travel_Rarely",805,87,3033,12828,"No",12,3,0,2,2,2,1,2,1,3,1,3,2,2,2,1
183,183,26,False,"Travel_Rarely",228,51,16606,11380,"No",12,3,1,23,13,12,5,1,3,2,4,3,3,2,4,8
184,184,1,False,"Travel_Rarely",1256,80,2323,11992,"No",24,4,2,2,2,2,2,2,3,4,1,19,3,6,3,1
185,185,9,False,"Travel_Rarely",499,36,4078,20497,"Yes",13,3,3,4,3,2,1,2,3,2,1,2,3,3,2,0
186,186,14,False,"Travel_Rarely",528,44,3195,4167,"Yes",18,3,3,8,2,2,2,2,3,4,1,1,3,2,3,4
187,187,18,False,"Travel_Rarely",986,62,2818,5044,"Yes",24,4,1,10,3,2,0,2,1,4,3,8,4,2,2,2
188,188,23,False,"Travel_Frequently",853,71,9069,11031,"No",22,4,1,9,9,8,1,8,2,1,4,18,3,3,2,1
189,189,7,False,"Travel_Rarely",501,95,4878,21653,"Yes",13,3,1,10,9,7,8,1,2,4,1,15,3,6,3,0
190,190,25,False,"Travel_Frequently",333,88,14411,24450,"Yes",13,3,0,32,32,6,13,9,3,4,4,22,1,2,3,1
191,191,18,True,"Travel_Rarely",374,87,2795,18016,"Yes",24,4,0,1,1,0,0,1,1,4,3,25,3,2,1,1
192,192,14,False,"Travel_Rarely",1355,61,2942,8916,"No",23,4,1,8,8,7,5,7,3,3,4,25,3,3,3,1
193,193,11,False,"Travel_Rarely",170,76,3069,10302,"No",15,3,1,11,10,8,0,7,3,3,4,3,2,3,3,0
194,194,1,False,"Travel_Rarely",1273,72,2645,21923,"No",12,3,2,6,5,3,1,4,4,3,4,2,4,3,2,1
195,195,1,False,"Travel_Rarely",683,36,3904,4050,"No",12,3,0,5,4,3,1,1,1,4,4,2,2,2,3,0
196,196,18,True,"Travel_Rarely",1085,57,2778,17725,"Yes",13,3,1,10,7,7,1,0,2,4,3,2,1,1,2,4
197,197,22,False,"Travel_Frequently",890,81,13826,19028,"No",22,4,0,31,9,8,0,0,3,4,3,25,2,3,3,3
198,198,9,False,"Travel_Frequently",1422,92,5675,19246,"No",20,4,1,7,7,7,7,7,1,4,3,2,3,5,3,1
199,199,23,True,"Travel_Rarely",530,51,10325,5518,"Yes",11,3,1,16,16,7,3,7,3,4,1,3,2,6,3,1
200,200,24,False,"Travel_Rarely",202,33,16752,12982,"Yes",11,3,1,26,26,14,3,0,3,4,3,2,3,3,2,1
201,201,1,False,"Travel_Rarely",199,55,2539,7950,"No",13,3,1,4,4,2,2,2,4,3,3,6,2,0,3,1
202,202,13,False,"Travel_Rarely",524,32,4534,13352,"No",11,3,0,9,8,7,1,7,1,3,1,18,3,6,3,0
203,203,4,False,"Travel_Rarely",330,65,8823,24608,"No",18,3,1,20,19,9,1,9,3,3,1,17,2,4,2,0
204,204,21,True,"Travel_Frequently",599,73,1118,8040,"Yes",14,3,0,1,1,0,1,0,3,4,4,24,1,4,3,1
205,205,21,True,"Travel_Frequently",602,100,2325,20989,"No",21,4,0,1,0,0,0,0,3,1,1,1,1,5,4,0
206,206,24,False,"Travel_Frequently",857,91,17181,12888,"No",13,3,1,21,7,6,7,7,4,1,2,10,2,2,2,4
207,207,21,True,"Travel_Rarely",341,48,2800,23522,"Yes",19,3,3,5,3,2,0,2,2,3,3,1,2,3,3,6
208,208,7,False,"Non-Travel",208,52,4148,12250,"No",12,3,1,15,14,11,2,9,3,3,4,8,3,5,3,1
209,209,13,False,"Travel_Rarely",1153,94,4325,17736,"No",15,3,0,5,5,2,1,3,1,2,3,1,3,2,3,1
210,210,26,False,"Travel_Rarely",406,52,17465,15596,"No",12,3,1,23,12,9,4,9,1,3,4,3,3,3,3,3
211,211,9,True,"Travel_Rarely",240,46,5744,26959,"Yes",11,3,0,6,6,4,0,3,3,3,4,5,2,1,3,1
212,212,23,False,"Travel_Rarely",1277,74,10368,5596,"Yes",12,3,1,13,10,6,0,3,3,4,2,2,3,5,2,4
213,213,1,False,"Travel_Rarely",391,96,1232,19281,"No",14,3,0,0,0,0,0,0,3,4,4,15,3,6,3,1
